Daily_Kos, The_Guardian, CNN, Fox, NY_post, The_Blaze
0,0,0,0,0,0
18,0,0,21,0,12
25,0,0,17,0,14
18,3,0,11,0,14
18,0,0,9,0,10
18,0,0,9,0,10
20,0,0,7,0,12
26,0,0,7,0,17
26,0,0,7,0,16
19,0,0,2,0,12
19,0,0,2,1,12
18,0,0,2,1,12
15,3,0,2,1,12
15,3,0,2,1,12
15,0,0,2,1,12
15,3,0,2,1,12
14,0,0,2,1,12
14,3,0,2,1,12
16,3,0,2,1,12
16,3,0,6,1,12
16,3,0,6,1,12
14,3,0,6,1,12
14,3,0,6,1,12
14,3,0,6,1,12
14,0,0,6,1,12
14,3,0,6,1,12
14,0,0,6,1,12
14,0,0,6,1,12
14,0,0,6,1,12
14,0,0,6,1,12
14,0,0,6,1,12
14,0,0,6,1,12
12,0,0,6,1,12
12,0,0,14,1,12
12,0,0,22,1,12
10,0,0,22,1,12
10,0,0,22,1,12
9,0,0,22,0,12
10,0,3,24,0,12
11,0,3,22,0,12
11,0,3,22,0,12
11,0,3,14,0,12
10,0,3,14,0,12
10,0,3,14,0,12
11,0,3,14,0,10
10,0,3,14,0,10
18,0,0,14,0,10
17,0,0,10,0,10
17,0,0,8,0,10
18,0,0,8,0,10
18,0,0,10,0,10
22,0,0,10,0,10
21,0,0,14,0,10
27,0,3,14,0,10
28,0,3,12,0,10
31,0,3,12,0,10
31,0,3,10,0,10
28,0,3,10,0,10
30,0,3,10,0,10
27,0,0,10,0,10
35,0,0,10,0,10
35,0,3,12,0,10
35,0,3,12,0,10
34,0,3,14,0,10
35,0,3,12,0,10
35,0,3,12,0,10
33,0,0,12,0,10
39,0,0,12,0,10
36,0,0,12,0,10
36,0,0,12,0,10
37,0,0,12,0,10
37,0,0,12,0,10
34,0,0,12,0,10
34,0,0,14,0,10
34,0,0,14,0,10
34,0,0,14,0,10
34,0,0,14,0,10
36,0,0,14,0,10
35,0,0,10,0,10
38,0,0,10,0,10
43,0,0,10,0,10
43,0,0,10,0,10
37,0,0,14,0,10
39,0,0,14,0,10
38,0,0,14,0,10
31,0,0,10,0,10
35,0,0,2,0,10
35,0,0,2,0,10
33,0,0,2,0,10
28,0,0,2,0,10
39,0,0,2,0,10
31,0,0,2,1,10
34,0,0,2,1,10
31,0,0,2,1,10
28,0,0,2,0,10
26,0,3,2,0,10
26,0,3,2,0,10
28,0,3,4,0,10
31,0,3,4,0,10
30,0,3,4,0,10
29,0,3,4,0,10
32,0,3,4,0,10
26,0,3,4,0,8
30,0,3,6,0,8
32,0,3,4,0,8
26,0,3,4,0,8
35,0,0,4,0,8
35,0,0,2,0,6
30,0,0,2,0,6
30,0,0,2,0,6
30,0,0,2,0,6
30,0,0,0,0,6
26,0,0,0,0,6
28,0,0,0,0,6
33,0,0,8,0,6
31,0,0,8,0,6
28,0,0,8,0,6
26,0,0,8,0,6
30,0,0,8,0,6
28,0,0,8,0,6
28,0,0,13,0,6
28,0,0,13,0,6
28,0,2,13,0,6
28,0,2,13,0,6
33,0,2,32,0,6
31,0,2,30,0,6
26,0,2,31,0,6
26,0,2,31,0,6
22,0,2,28,0,6
20,0,2,28,0,6
23,0,0,24,0,6
23,0,0,24,0,6
21,0,0,24,0,6
21,0,0,24,0,6
19,0,0,20,0,6
17,0,0,20,0,2
20,0,0,24,0,2
20,0,1,24,0,2
22,0,1,20,0,2
21,0,1,20,6,2
16,0,1,19,5,2
16,0,1,19,5,4
14,0,0,16,5,10
16,0,0,12,5,8
16,0,0,8,5,13
0,0,0,0,0,0
92,13,1,13,3,16
87,13,2,15,3,16
81,13,2,14,3,16
82,13,2,18,3,16
81,13,6,14,3,10
78,13,6,12,3,10
84,13,6,12,3,10
97,13,6,12,3,10
89,13,6,14,0,11
88,13,6,14,0,10
84,13,6,14,0,10
77,13,6,14,0,13
76,13,6,14,0,13
75,13,6,14,0,13
79,13,5,14,0,13
78,13,6,10,0,13
78,13,6,10,0,13
77,13,6,8,0,13
75,13,6,8,0,13
77,15,6,8,1,13
81,15,6,8,1,13
79,15,6,8,1,13
78,15,6,8,1,13
77,18,6,8,1,13
78,17,6,8,1,13
79,23,6,8,1,13
79,23,6,8,1,13
88,23,6,8,1,13
82,23,6,8,1,13
78,24,6,8,1,13
78,24,6,8,1,13
77,28,5,8,1,13
